"ID","Status","Comment","Assertion"
"td-objects_properties","null","not testable with Assertion Tester","The type of the members properties MUST be serialized as a JSON object."
"td-objects_schemaDefinitions","null","not testable with Assertion Tester","The type of the members schemaDefinitions MUST be serialized as a JSON object."
"td-objects_securityDefinitions","null","not testable with Assertion Tester","The type of the members securityDefinitions MUST be serialized as a JSON object."
"td-objects_uriVariables","null","not testable with Assertion Tester","The type of the members uriVariables MUST be serialized as a JSON object."
"td-objects_version","null","not testable with Assertion Tester","The type of the members version MUST be serialized as a JSON object."
"td-op-for-action","null","not testable with Assertion Tester","When a Form instance is within an ActionAffordance instance, the value assigned to op MUST either be invokeaction, queryaction, cancelaction or an Array containing a combination of these terms."
"td-op-for-event","null","not testable with Assertion Tester","When a Form instance is within an EventAffordance instance, the value assigned to op MUST be either subscribeevent, unsubscribeevent, or both terms within an Array."
"td-op-for-property","null","not testable with Assertion Tester","When a Form instance is within a PropertyAffordance instance, the value assigned to op MUST be one of readproperty, writeproperty, observeproperty, unobserveproperty or an Array containing a combination of these terms."
"td-op-for-thing","null","not testable with Assertion Tester","When the forms Array of a Thing instance contains Form instances, it MUST contain op member with the string values assigned to the name op, either directly or within an Array, MUST be one of the following operation types: readallproperties, writeallproperties, readmultipleproperties, writemultipleproperties, observeallproperties, unobserveallproperties, queryallactions, subscribeallevents, or unsubscribeallevents."
"td-privacy-auth-users-only","null","not testable with Assertion Tester","Only authorized users SHOULD be provided access to the Thing Description for a Thing."
"td-privacy-centralized-ids","null","not testable with Assertion Tester","TD identifiers SHOULD NOT be generated using a centralized authority."
"td-privacy-consideration-access-control-mandatory-person","null","not testable with Assertion Tester","Things returning data or metadata (such as TDs) associated with a person SHOULD use some form of access control."
"td-privacy-consideration-min-explicit-pii","null","not testable with Assertion Tester","Storage of explicit personally identifiable information in TDs SHOULD be minimized as much as possible."
"td-privacy-distributed-ids","null","not testable with Assertion Tester","TD identifiers SHOULD be generated using a distributed mechanism such as UUIDs that provides a high probability of uniqueness."
"td-privacy-essential-metadata-only","null","not testable with Assertion Tester","Only the amount of information needed for the level of authorization and the use case SHOULD be provided in a TD."
"td-privacy-id-metadata","null","not testable with Assertion Tester","The value of the id of a TD SHOULD NOT contain metadata describing the Thing or from the TD itself."
"td-privacy-mutable-identifiers","null","not testable with Assertion Tester","All identifiers used in a TD SHOULD be mutable, and in particular there SHOULD be a mechanism to update the id of a Thing when necessary."
"td-privacy-temp-id-metadata","null","not testable with Assertion Tester","Any temporary ID generated to manage TDs, for example an ID for a database or directory service, SHOULD NOT contain metadata describing the Thing or from the TD itself."
"td-processor","null","not testable with Assertion Tester","A TD Processor MUST satisfy the Class instantiation constraints on all Classes defined in , , , and ."
"td-processor-bidi-isolation","null","not testable with Assertion Tester","TD Processors SHOULD take care to use bidi isolation when presenting strings to users, particularly when embedding in surrounding text (e.g., for Web user interface)"
"td-processor-serialization","null","not testable with Assertion Tester","A TD Processor MUST be able to serialize Thing Descriptions into the JSON format [[!RFC8259]] and/or deserialize Thing Descriptions from that format, according to the rules noted in and ."
"td-producer-mixed-direction","null","not testable with Assertion Tester","TD producers SHOULD attempt to provide mixed direction strings in a way that can be displayed successfully by a naive user agent."
"td-properties","null","not testable with Assertion Tester","All name-value pairs of a Map of PropertyAffordance instances MUST be serialized as members of the JSON object that results from serializing the Map; the name of a pair MUST be serialized as a JSON string and the value of the pair, an instance of PropertyAffordance, MUST be serialized as a JSON object."
"td-properties_existence","null","not testable with Assertion Tester","Properties offered by a Thing MUST be collected in the JSON-object based properties member."
"td-properties_uniqueness","null","not testable with Assertion Tester","Properties collected in the JSON-object based properties member MUST have unique JSON names."
"td-property-arrays","null","not testable with Assertion Tester","The value assigned to forms in an instance of PropertyAffordance MUST be serialized as a JSON array containing one or more JSON object serializations as defined in ."
